# Changed 139 packets in the network 192.168.0.1/24:
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:4.5133 time:4.96463
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:4.0 time:4.4
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:7.0 time:7.7
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.1866 time:0.20526
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.22 dip192.168.0.11 port:502 command:16 address:6 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.22 dip192.168.0.11 port:502 command:16 address:6 value:3.0 time:3.3
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.6533 time:0.71863
sip:192.168.0.22 dip192.168.0.11 port:502 command:16 address:6 value:3.0 time:3.3
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.6533 time:0.71863
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.96 time:1.056
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.0533 time:1.1586299999999998
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.12 dip192.168.0.21 port:53924 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.2266 time:1.34926
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:4.7666 time:5.24326
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.3 time:3.63
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.3466 time:1.48126
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:7.0 time:7.7
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:0.0 time:0.0
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:53344 command:3 address:0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.21 port:44610 command:3 address:0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53386 command:3 address:0 value:0.0001 time:0.00011
