time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2022-09-20 14:56:14.827565, 1663678574800, 5, 16, 0.0, 3.0, 0.0, 1.8, 0.0, 
2022-09-20 14:56:15.023730, 1663678575000, 6, 8, 0.0, 3.0, 0.013333333333333334, 1.8, 0.0, 
2022-09-20 14:56:15.225005, 1663678575200, 1, 20, 0.0, 3.0, 0.04, 1.8, 0.0, 
2022-09-20 14:56:15.426167, 1663678575400, 0, 9, 0.0, 3.0, 0.05333333333333334, 1.8, 0.0, 
2022-09-20 14:56:15.619564, 1663678575600, 0, 3, 0.0, 3.0, 0.08, 1.8, 0.0, 
2022-09-20 14:56:15.854199, 1663678575800, 0, 39, 0.0, 3.0, 0.11999999999999998, 1.8, 0.0, 
2022-09-20 14:56:16.044069, 1663678576000, 1, 17, 0.0, 3.0, 0.14666666666666664, 1.8, 0.0, 
2022-09-20 14:56:16.239164, 1663678576200, 0, 13, 0.0, 3.0, 0.1733333333333333, 1.8, 0.0, 
2022-09-20 14:56:16.448094, 1663678576400, 1, 6, 0.0, 3.0, 0.19999999999999998, 1.8, 0.0, 
2022-09-20 14:56:16.610067, 1663678576600, 0, 8, 0.0, 3.0, 0.21333333333333335, 1.8, 0.0, 
2022-09-20 14:56:16.836938, 1663678576800, 3, 5, 0.0, 3.0, 0.25333333333333335, 1.8, 0.0, 
2022-09-20 14:56:17.037108, 1663678577000, 4, 6, 0.0, 3.0, 0.28, 1.8, 0.0, 
2022-09-20 14:56:17.217124, 1663678577200, 4, 11, 0.0, 3.0, 0.3066666666666667, 1.8, 0.0, 
2022-09-20 14:56:17.456218, 1663678577400, 2, 9, 0.0, 3.0, 0.3333333333333334, 1.8, 0.0, 
2022-09-20 14:56:17.612130, 1663678577600, 1, 8, 0.0, 3.0, 0.34666666666666673, 1.8, 0.0, 
2022-09-20 14:56:17.869846, 1663678577800, 14, 5, 0.0, 3.0, 0.37333333333333346, 1.8, 0.0, 
2022-09-20 14:56:18.082439, 1663678578000, 4, 30, 0.0, 3.0, 0.4133333333333335, 1.8, 0.0, 
2022-09-20 14:56:18.261827, 1663678578200, 5, 17, 0.0, 3.0, 0.4266666666666668, 1.8, 0.0, 
2022-09-20 14:56:18.437870, 1663678578400, 1, 13, 0.0, 3.0, 0.44000000000000017, 1.8, 0.0, 
2022-09-20 14:56:18.612002, 1663678578600, 0, 9, 0.0, 3.0, 0.4800000000000002, 1.8, 0.0, 
2022-09-20 14:56:18.870200, 1663678578800, 17, 17, 0.0, 3.0, 0.5200000000000004, 1.8, 0.0, 
2022-09-20 14:56:19.067867, 1663678579000, 2, 63, 0.0, 3.0, 0.546666666666667, 1.8, 0.0, 
2022-09-20 14:56:19.211804, 1663678579200, 1, 8, 0.0, 3.0, 0.5600000000000004, 1.8, 0.0, 
2022-09-20 14:56:19.407777, 1663678579400, 1, 2, 0.0, 3.0, 0.586666666666667, 1.8, 0.0, 
2022-09-20 14:56:19.609849, 1663678579600, 1, 2, 0.0, 3.0, 0.6133333333333337, 1.8, 0.0, 
2022-09-20 14:56:19.805635, 1663678579800, 1, 1, 0.0, 3.0, 0.6400000000000005, 1.8, 0.0, 
2022-09-20 14:56:20.036858, 1663678580000, 0, 3, 0.0, 3.0, 0.6800000000000005, 1.8, 0.0, 
